Month,Total,Total_AnnualChange,Skilled,Unskilled,Region_Auckland,Region_Wellington,Region_NorthIslandOth,Region_Canterbury,Region_SouthIslandOth,Accountin_HR_legal_admin,Industry_Construction,Industry_Education,Industry_Healthcare,Industry_Hospitality,Industry_IT,Industry_Manufacturing,Industry_Primary,Industry_Sales,Industry_Other,Occptn_Manager,Occptn_Professionals,Occptn_TechniciansTrades,Occptn_CmmmntyPrsnlSrvcs,Occptn_ClericalAdmin,Occptn_Sales,Occptn_MachineryDrivers,Occptn_Labourers,Skills_HighlySkilled,Skills_Skilled,Skills_Semi_skilled,Skills_LowSkilled,Skills_Unskilled
 May 2007,100,.,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
 Jun 2007,92,.,91.9,92.6,91.9,93,93.5,94.7,75.1,91.5,92.7,98.5,91.1,86.8,93.5,92.5,65.7,92.6,89.7,91.1,93.2,88.7,89.3,93,96,77.9,88.5,92.2,90,92.7,92.1,94.7
 Jul 2007,95.8,.,95.6,94.7,96.7,94.7,95,99,83.1,93.4,96.7,74.5,102.5,104.3,95.6,95.1,74,102.7,90.1,96.6,93.2,99,109.7,94.9,94.5,94.9,92.3,95,93.3,101.7,94.2,96.4
 Aug 2007,102.2,.,100.6,103.4,101.5,98.4,106.6,108.3,104.8,96.2,107.8,95.5,111.1,129.7,94.7,110.3,89.5,106.5,103,100.1,95.8,114.1,131.5,100.8,100.7,107.1,111.5,97.3,104.9,111.4,102.1,108.2
 Sep 2007,95.1,.,94.3,93.8,93,93.8,100.5,101.4,101.7,84.5,103.1,120.9,98.9,123.7,92.1,108.4,73.3,98.3,83.4,93.3,93.7,102.5,116.8,85.9,93.7,105,108.3,91.3,106.3,94,91.2,102.6
 Oct 2007,99.6,.,100.9,95.7,95.1,98.7,111.8,107.2,112.5,85.5,105,171.7,115.4,128.5,93.6,111.3,89.5,100.7,94.4,100.4,102.5,106,116.4,87.9,94.2,108.9,106.6,96.6,121.7,95.3,92.8,105.8
 Nov 2007,99.5,.,105,88.1,95.4,98.4,114.5,100.8,115.9,87.5,116.7,174.8,106.6,109.8,97.8,111.7,75.1,90.1,94.7,109.6,109,100.1,106.9,81.9,83.6,111,103.1,104.1,124.4,84.8,87.4,90.9
 Dec 2007,69.2,.,75.6,54.9,64.8,67.6,80.3,71,101.8,59,93.3,115.5,70,69.2,69,70.4,46.6,60.1,78.9,74.9,81.2,70.7,62.7,53.6,52.4,65.5,64.6,76.3,84.9,60.1,54.8,55.2
 Jan 2008,101.7,.,102.4,99.9,97.5,96.7,112.3,119,114.3,92.5,127.4,57.3,116.6,134.1,89.2,115,81.2,102.8,108.7,110.4,100.4,108.1,131.3,89.2,96.5,115.2,125.3,106.3,89.4,99.9,97.5,108.2
 Feb 2008,106.5,.,107.3,106.2,102.5,101.1,118.2,121.3,119.8,96.4,135.1,111.1,118,128.8,91.4,123.7,97.5,104.5,98.9,107.8,107.8,113.4,129.1,96,101.6,126.3,137.3,108,102.1,110,103.6,115.3
 Mar 2008,101.1,.,101.7,100.1,97.8,96.3,115.1,111.3,106.6,92.8,127.8,112.9,113,112.8,86.4,119.4,95.7,97.1,95.8,102.1,103,106.9,114.1,91.9,93.6,121.5,124.6,102.5,99.6,100.3,98.4,105.8
 Apr 2008,105.9,.,110.1,100.2,102.9,102.3,116,115.8,113.2,95.7,132.1,113.3,128.5,111.5,96.5,111.9,107.9,101.7,112.3,113,112,110,118.3,95.4,94,111.4,123,112.4,106.1,103.8,98.3,106.6
 May 2008,110.4,10.4,113.9,103.3,107.6,109.9,118.2,116.5,113.5,98.7,136.2,101.1,140.2,110.1,106.7,112.1,110.5,107.4,118.2,110.3,118.3,112.5,125,96.8,103.5,113.8,119.9,116.9,108,106.5,101,111.3
 Jun 2008,102,11,109.2,89.2,98.4,103.1,109.5,109.1,108.8,87.2,135,132.1,128.8,92,100.9,98.4,80.1,95.7,111.5,103.3,116.6,105.7,110.3,87.1,84,91.7,107.4,111.9,108.4,96.7,88.2,92.5
 Jul 2008,107.9,12.6,115.2,96.1,102.9,110.5,113.7,120.1,118.6,95.1,139.7,99.2,141.4,104.7,106.4,101.8,119.5,98.5,133.1,111.3,120.8,111.9,135,91.7,91.1,100.9,121.4,120.7,98.6,108.7,93.7,104.2
 Aug 2008,97.3,-4.8,104.3,86.4,91.9,94.5,112.6,107.1,119.6,80.3,132.7,109.9,132.8,105.4,91.1,94,115.9,88.3,126.8,99.9,109,107.9,136.2,77.4,83.4,98.4,104.5,107.2,96.4,100.1,84.1,94.3
